pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
14.9685779,1671.1249287,3.1968838,6470.0,1.59715,4.15,CP
14.5727196,1461.6208264,3.9443668,5494.0,1.75475,3.93,CP
14.8838,,3.93034,6292.0,1.37,,FP
9.8153513,1326.6264827,4.5371361,5731.0,1.48668,4.1,CP
,,5.929405,,,,FP
2.2963233,841.9410276,14.3392144,6295.7,1.1374201,4.438,CP
18.1267,2281.0,2.8716983,6840.0,1.91,4.05,KP
2.5856853,737.3642914,6.0964074,4820.4,0.731699,4.6,CP
4.258255,177.5215972,,4820.4,0.731699,4.6,PC
14.8589,1277.0,5.6666168,6530.0,1.47,4.23,PC
18.4825,3900.0,1.56029,6897.0,2.29,3.89,FP
6.0401,1591.0,8.8735214,5992.0,1.18,4.34,FP
,,7.8513729,,,,FP
23.7824,1409.0,7.6869063,5147.3,3.07,,FP
,1193.0,2.534612,5009.6,,,APC
22.2329,3626.0,1.3797091,5924.0,2.67,3.68,FP
,4828.0,1.49861,8590.0,,4.12,FP
16.0959,708.0,6.2407826,4174.0,0.9,4.34197,APC
11.8862,1492.0,2.6796,5938.0,1.32,4.23,FP
26.5174686,1714.087545,6.1406417,8298.0,1.87493,4.19,APC
12.8076,1033.0,11.0765063,6460.0,1.86,4.0,FP
8.84136,,0.6193401,7812.5,1.79,,FP
18.2671,2611.0,2.6400663,5155.0,2.72,,FP
18.687,4400.0,2.5778717,8321.0,3.16,3.75,FP
8.57193,1644.0,3.80509,6555.5,2.35,3.83,FP
24.2511,4252.0,2.99041,8542.0,3.56,3.66,FP
,,4.9865029,,,,PC
2.89678,2099.0,0.890967,5159.2,0.87,4.5,FP
3.6396725,1284.923458,2.1096805,5673.0,0.940806,4.55383,CP
,,3.9729429,,,,PC
20.5525,2172.0,1.19888,7315.0,5.46,,FP
,1589.0,3.37644,8639.7,,3.96,APC
6.42307,3550.0,2.03905,9003.0,2.68,3.94,FP
9.70968,3452.0,2.9424142,6854.0,1.79,4.1,FP
,1053.0,3.062624,5086.8,,,PC
2.3337648,554.9934842,11.0708575,4356.0,0.700727,4.53491,CP
12.8098,3551.0,2.6380089,7495.0,2.5,3.88,FP
4.98036,2317.0,2.7260173,5256.0,0.79,4.59,FP
8.48351,1983.0,2.86876,8342.0,2.65,3.9,FP
4.22851,1866.0,0.5590256,,1.35,,FP
4.47387,2311.0,2.958148,6294.0,1.58,4.13,FP
3.41784,1987.0,0.98736,6301.3,1.69,4.07,FP
6.35126,1667.0,3.99307,4731.1,0.93,4.35,FP
24.132,1366.0,8.6795072,6057.0,1.14,4.43,FP
13.1465,1588.0,6.5560604,8918.0,4.58,3.51,APC
5.91488,3488.0,1.3812787,6483.0,1.38,4.28,FP
